주차장명,위도,경도
퇴계원 노상제1,37.65543473,127.145407
호평 노상제1,37.65509507,127.2441133
진접 노상제4,37.71461023,127.1978088
화도 제7공영,37.65191149,127.3043776
진접 노상제5,37.72107823,127.1959489
호평 제1공영,37.67044509,127.2519505
양정 제2공영,37.61779491,127.1973075
다산 제3공영,37.61429808,127.1547857
진건 제2공영,37.65447755,127.1795068
화도 제6공영,37.652369,127.3085482
다산생태공원제1공영,37.51422793,127.2991146
와부 제1공영,37.58642172,127.2128495
진접 제2공영,37.7455324,127.2017267
화도 제10공영,37.65730561,127.306869
진건 제4공영,37.65022309,127.1794187
다산 노상제1,37.60476851,127.1562168
다산 노상제2,37.60433205,127.1558173
금곡 노상제7,37.63352177,127.2052844
별내동 노상제2,37.66668934,127.1150385
별내동 노상제10,37.65958399,127.125866
진접 노상제4,37.71461023,127.1978088
별내면 노상제2,37.70927625,127.114995
별내동 제1공영,37.6560054,127.1259199
물의정원제3공영,37.56173759,127.3147801
정약용생가 다목적광장,37.51476203,127.2970938
진접 제5공영,37.71901674,127.2050766
와부 노상제1,37.58581139,127.2139166
와부 노상제2,37.58620633,127.2066997
진접 노상제2,37.74465315,127.2020426
와부 제3공영,37.57963998,127.2226608
와부 제5공영,37.54597955,127.2449396
진접 제1공영,37.74489146,127.208373
진접 제3공영,37.72614539,127.1938017
진접 제4공영,37.74144675,127.1996093
화도 제1공영,37.65318279,127.303027
화도 제2공영,37.65321825,127.3018139
화도 제3공영,37.65233823,127.3118359
화도 제4공영,37.65207675,127.3066978
화도 제5공영,37.65703725,127.302911
화도 제7공영,37.65097769,127.3043459
화도 제8공영,37.65853453,127.2837023
화도 제9공영,37.66111881,127.3033908
진건 제1공영,37.65782659,127.174776
진건 제2공영,37.65447755,127.1795068
진건 제3공영,37.65230893,127.1759315
진건 제5공영,,
별내면 제1공영,37.70519958,127.1063771
퇴계원 노상제1,37.65543473,127.145407
퇴계원 노상제2,37.6510207,127.1448079
금곡 노상제1,37.63626912,127.2150889
금곡 노상제2,37.63612447,127.213636
금곡 노상제3,37.63276297,127.2052926
금곡 노상제4,37.62539416,127.2006357
금곡 노상제8,37.6337518,127.2115866
평내 노상제2,37.64804261,127.2381975
진접 노상제6,37.72475285,127.2085347
도농 노상제1,37.60646367,127.157356
진접 노상제7,37.71181903,127.1868933
별내동 노상제1,37.64893462,127.1216693
별내동 노상제2,37.64705137,127.1213318
별내동 노상제3,37.64739402,127.1235474
별내동 노상제4,37.64705137,127.1213318
별내동 노상제6,,
와부 노상제3,37.59157346,127.2224919
평내 노상제3,37.64733378,127.237585
별내동 노상제7,,
별내동 노상제8,37.65040952,127.1124365
별내동 노상제9,37.65202591,127.1128331
금곡 노상제7,37.63293867,127.2085339
별내면 노상제2,37.70927625,127.114995
별내면 노상제3,37.70726033,127.1190872
별내면 노상제5,37.711025,127.112677
별내면 노상제6,,
별내면 노상제7,37.711025,127.112677
와부 노상제2,37.58620633,127.2066997
진접 노상제1,37.71550935,127.1804013
화도 노상제3,37.65723444,127.3019941
퇴계원 노상제2,37.6496279,127.1447757
진접 노상제3,37.71824246,127.1844317
금곡 노상제6,37.62725394,127.2024138
지금 노상제1,37.60476851,127.1562168
진접 노상제2,,
화도 노상제2,37.64981489,127.3040126
사능 제2공영,37.65022309,127.1794187
별내동 제1공영,37.6560054,127.1259199
천마산 공영,37.65853453,127.2837023
금곡 노상제1,37.6366121,127.2179949
금곡 노상제4,37.62539416,127.2006357
지금 노상제2,37.60433205,127.1558173
별내동 제2공영,37.65093992,127.1203238
퇴계원 제2공영,37.65121904,127.1430546
퇴계원 제3공영,37.64761983,127.1423888
퇴계원 제4공영,37.64867502,127.1455805
호평 제2공영,,
늘을중앙공원,,
평내 제2공영,37.6535286,127.2429896
금곡 제1공영,37.63264794,127.2000629
양정 제1공영,37.60619113,127.1925051
다산 제1공영,37.60524908,127.1580563
다산 제2공영,37.60488226,127.1579333
다산 제4공영,37.61009078,127.1523918
오남 제1공영,37.69420583,127.1987724
물의정원제1공영,37.55689624,127.3116697
물의정원제2공영,37.55844984,127.3133964
금곡 노상제2,37.63597109,127.213815
금곡 노상제3,37.63293867,127.2085339
와부 노상제1,37.58581139,127.2139166
금곡 제1공영,37.63264794,127.2000629
퇴계원 제3공영,37.64761983,127.1423888
와부 제3공영,37.57963998,127.2226608
도농 제1공영,37.61009078,127.1523918
와부 제4공영,37.54542684,127.2469094
화도 제1공영,37.65318279,127.303027
화도 제2공영,,
사능 제1공영,37.65269476,127.175669
양정 제1공영,37.60619113,127.1925051
화도 제3공영,37.65233823,127.3118359
와부 제2공영,37.58538302,127.2119701
지금 제2공영,37.60488226,127.1579333
평내 제2공영,37.6535286,127.2429896
진접 제2공영,37.7455324,127.2017267
진접 제3공영,37.72614539,127.1938017
평내 제1공영,37.64817362,127.2363217
화도 제5공영,37.65703725,127.302911
퇴계원 제2공영,37.65121904,127.1430546
금곡 노상제8,37.63463459,127.2132626
와부 제1공영,37.58642172,127.2128495
지금 제1공영,37.60482107,127.1575736
화도 제4공영,37.65207675,127.3066978
퇴계원 제1공영,37.64626931,127.14069
양정 제2공영,37.61878469,127.1979187
호평 제1공영,37.67044509,127.2519505
진접 제1공영,37.74489146,127.208373
별내면 노상제1,37.70793078,127.1195798
호평 노상제2,37.65577672,127.2547758
평내 노상제1,37.64603492,127.2349077
한빛누리고 앞,37.91119294,127.060259
임시주차장(생연파출소 세아프라자),37.90138716,127.0505545
한국국토정보공사·시청 후문,37.90392404,127.05882
G7호텔 주변,37.90274386,127.0541748
화성5차아파트,37.89974018,127.0464811
중앙종묘농약사~성지가전재활용,37.91244857,127.0559592
중앙시장 주차장,37.90681263,127.0528307
미2사단 보산동 공영주차장,37.91798357,127.0569718
은성교회 전철하부주차장,37.91218435,127.0575989
중앙동13통주차장,37.90933082,127.0522192
탑동3주차장,37.89185205,127.1225929
송내2주차장,37.88414303,127.0508165
"중앙경로당, 빨간풍차",37.91180522,127.057442
카리스뮤직 앞,37.91760481,127.0561785
폭포수농원 옆,37.89268534,127.1353267
동두천중앙역→보산역 방향 일방통행로,37.9043317,127.0569748
향미식당 앞,37.90228094,127.0509472
5060청춘로드 주차장,,
중앙동 공영주차장,37.90721217,127.0549644
송내1주차장,37.89149108,127.0539412
송내4주차장,37.89086528,127.0524586
송내지구 공영주차장,37.88267332,127.0521693
대형자동차 공영주차장(대형),,
대형자동차 공영주차장(소형),,
생연로일원 공영주차장,37.90393006,127.0508803
미2사단 정문 맞은 편 지하철 하부,37.91956563,127.0561633
동두천역주차장,37.92822835,127.0561106
제일시장,37.90459933,127.0513306
중앙동행정복지센터,37.90760532,127.053401
중앙동5통주차장,37.90932556,127.0558934
중앙동 빗물펌프장 1,37.91151084,127.0540829
중앙동 빗물펌프장 2,37.90760165,127.0514196
보산1펌프장지구,37.92245071,127.0564698
한미문화의광장 주차장,37.9166571,127.0558201
DDC커뮤니티센터,37.91369658,127.0569072
